Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2014-10-28,2 games,Joe Morgan,WR,New Orleans Saints,Undisclosed
2014-10-25,2 games,C. J. Mosley,DT,Detroit Lions,Conduct detrimental to the team and violations of team rules
2014-10-21,2 games,Da'Quan Bowers,DE,Tampa Bay Buccaneers,Violating the substance policies
2014-10-15,2 games,Jorvorskie Lane,FB,Tampa Bay Buccaneers,Violating the substance policies
2014-10-06,Indefinite (reinstated one week later),Derrick Shelby,DE,Miami Dolphins,Conduct detrimental to the team
2014-10-01,10 games,Frank Alexander,DE,Carolina Panthers,Violating the substance policies
2014-09-29,4 games,LaRon Landry,FS,Indianapolis Colts,Violating the substance policies
2014-09-19,4 games,Dion Jordan,DE,Miami Dolphins,Violating the substance policies
2014-09-08,Indefinite (appealed and overturned two months later),Ray Rice,RB,Baltimore Ravens,"Violation of the league's personal conduct policy, stemming from a domestic violence incident"
2014-09-05,4 games,D.C. Jefferson,TE,Carolina Panthers,Violating the substance policies
2014-09-04,8 games,Andre Brown,RB,Free agent,Violating the substance policies
2014-09-04,4 games,Erin Henderson,LB,Free agent,Violating the substance policies
2014-09-02,10 games,Josh Brent,NT,Dallas Cowboys,"Violation of the league's personal conduct policy, stemming from being convicted of manslaughter"
2014-09-02,4 games (Later overturned),Wes Welker,WR,Denver Broncos,Violating the substance policies
2014-08-29,9 games,Aldon Smith,OLB,San Francisco 49ers,Violating the substance policies
2014-08-29,4 games,Jakar Hamilton,FS,Dallas Cowboys,Violating the substance policies
2014-08-29,3 games,Jerome Simpson,WR,Minnesota Vikings,Violating the substance policies
2014-08-27,Entire 2014 season (later changed to 10 games),Josh Gordon,WR,Cleveland Browns,Violating the substance policies
2014-08-26,Indefinite,Dimitri Patterson,CB,New York Jets,Unexplained absence from the team's training camp
2014-08-25,2 games,Brandon Meriweather,SS,Washington Redskins,Illegal hit on Baltimore Ravens WR Torrey Smith
2014-08-23,4 games,Matt Prater,K,Denver Broncos,Violating the substance policies
2014-08-22,4 games,Donald Stephenson,OL,Kansas City Chiefs,Violating the substance policies
2014-08-15,1 game,Dwayne Bowe,WR,Kansas City Chiefs,Violating the substance policies
2014-08-11,4 games (Later overturned),Orlando Scandrick,CB,Dallas Cowboys,Violating the substance policies
2014-08-08,4 games,Eric Herman,OG,New York Giants,Violating the substance policies
2014-08-08,4 games,Reshad Jones,FS,Miami Dolphins,Violating the substance policies
2014-08-05,Indefinite (reinstated five days later),Martellus Bennett,TE,Chicago Bears,"Conduct detrimental to the team, after an altercation with rookie CB Kyle Fuller in practice"
2014-07-30,1 game,Nigel Bradham,LB,Buffalo Bills,Violating the substance policies
2014-07-30,2 games,Chris Lewis-Harris,CB,Cincinnati Bengals,Violating the substance policies
2014-07-23,4 games,Lane Johnson,OT,Philadelphia Eagles,Violating the substance policies
2014-07-22,4 games,Ace Sanders,WR,Jacksonville Jaguars,Violating the substance policies
2014-07-11,4 games,Spencer Nealy,DE,Minnesota Vikings,Violating the substance policies
2014-07-09,Indefinite,Tanard Jackson,FS,Washington Redskins,Violating the substance policies
2014-07-03,4 games,Rokevious Watkins,OT,Kansas City Chiefs,Violating the substance policies
2014-07-03,4 games,Dion Jordan,DE,Miami Dolphins,Violating the substance policies
2014-07-03,Entire 2014 season (later changed to 10 games),LaVon Brazill,WR,Indianapolis Colts,Violating the substance policies
2014-06-04,4 games,Jayron Hosley,CB,New York Giants,Violating the substance policies
2014-05-30,Entire 2014 season (reinstated in April 2017),Daryl Washington,LB,Arizona Cardinals,Violating the substance policies
2014-05-30,6 games,Will Hill,SS,New York Giants,Violating the substance policies
2014-05-21,1 game,Marlon Moore,WR,Cleveland Browns,Violating the substance policies
2014-05-16,4 games,Robert Mathis,LB,Indianapolis Colts,Violating the substance policies
2014-05-12,4 games (Later overturned),Stedman Bailey,WR,St. Louis Rams,Violating the substance policies
2014-05-11,Indefinite (reinstated one week later),Don Jones,SS,Miami Dolphins,Violations of the team's social media policy
2014-05-02,4 games,Frank Alexander,DE,Carolina Panthers,Violating the substance policies
2014-04-21,4 games,Brian Tyms,WR,New England Patriots,Violating the substance policies
2014-04-08,4 games,Brandon Moore,DE,Washington Redskins,Violating the substance policies
2014-04-04,4 games,Jake Knott,LB,Philadelphia Eagles,Violating the substance policies
2014-02-19,Indefinite (reinstated in May 2015),Fred Davis,TE,Washington Redskins,Violating the substance policies
2013-12-18,4 games (reinstated in Mar. 2014),Brandon Browner,CB,Seattle Seahawks,Violating the substance policies
2013-12-03,4 games,Travis Lewis,LB,Detroit Lions,Violating the substance policies
2013-11-25,1 game,Michael Griffin,FS,Tennessee Titans,Repeated violations of the league's player safety policy
2013-11-24,4 games,Walter Thurmond,CB,Seattle Seahawks,Violating the substance policies
2013-11-18,1 game,Erik Walden,LB,Indianapolis Colts,Headbutting Tennessee Titans tight end Delanie Walker
2013-11-18,1 game,Dashon Goldson,FS,Tampa Bay Buccaneers,Repeated violations of the league's player safety policy
2013-11-12,4 games,LaRoy Reynolds,LB,Jacksonville Jaguars,Violating the substance policies
2013-11-04,Indefinite (reinstated Feb. 2014),Richie Incognito,OG,Miami Dolphins,Detrimental conduct
2013-11-01,Indefinite,Justin Blackmon,WR,Jacksonville Jaguars,Violating the substance policies
2013-10-21,2 games (later reduced to one game),Brandon Meriweather,FS,Washington Redskins,Repeated violations of the league's helmet-to-helmet policy
2013-10-12,4 games,Kellen Winslow II,TE,New York Jets,Violating the substance policies
